P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
3190,sky sienna smoke turquoise purple,"Manufacturer#2","Brand#25",MEDIUM BURNISHED STEEL,49,SM BAG,1093.19,osits are
3191,hot salmon papaya metallic peru,"Manufacturer#4","Brand#45",MEDIUM PLATED COPPER,4,JUMBO CAN,1094.19,deposits hang sly
3192,pale lemon violet dodger khaki,"Manufacturer#1","Brand#14",STANDARD PLATED COPPER,34,JUMBO BAG,1095.19,s might h
3193,purple chartreuse antique lace ivory,"Manufacturer#5","Brand#52",LARGE POLISHED TIN,37,JUMBO JAR,1096.19,st quickly acr
3194,chiffon orange olive black smoke,"Manufacturer#5","Brand#55",PROMO ANODIZED NICKEL,2,JUMBO BAG,1097.19,c accoun
3195,dodger seashell saddle purple gainsboro,"Manufacturer#5","Brand#54",PROMO ANODIZED NICKEL,20,WRAP BOX,1098.19,ironic de
3196,chocolate orchid honeydew violet goldenrod,"Manufacturer#2","Brand#21",MEDIUM BRUSHED NICKEL,12,MED JAR,1099.19,final r
3197,cornsilk sandy beige olive blue,"Manufacturer#1","Brand#15",ECONOMY ANODIZED COPPER,16,MED DRUM,1100.19,ously slyly bold excus
3198,lime light sandy lavender coral,"Manufacturer#3","Brand#34",ECONOMY BRUSHED TIN,42,LG PKG,1101.19,silent deposits
3199,yellow hot salmon almond floral,"Manufacturer#3","Brand#35",LARGE ANODIZED COPPER,11,LG DRUM,1102.19,hes about the ironic 
3200,cornflower antique goldenrod almond orange,"Manufacturer#2","Brand#25",STANDARD PLATED COPPER,18,SM DRUM,1103.20, slyly 
3201,puff dim navajo almond midnight,"Manufacturer#3","Brand#34",SMALL BRUSHED TIN,46,LG BOX,1104.20,"g furiously even, "
3202,mint papaya pale saddle dark,"Manufacturer#3","Brand#31",PROMO BRUSHED BRASS,3,LG DRUM,1105.20,al depo
3203,honeydew sienna mint orchid purple,"Manufacturer#5","Brand#54",ECONOMY POLISHED STEEL,12,SM DRUM,1106.20,uffily carefully final
3204,cornsilk ivory navy navajo spring,"Manufacturer#1","Brand#11",PROMO ANODIZED TIN,42,MED BAG,1107.20,e against the 
3205,royal chiffon beige khaki bisque,"Manufacturer#2","Brand#23",LARGE ANODIZED TIN,26,JUMBO BOX,1108.20,ckages boost slyly 
3206,almond saddle navy drab brown,"Manufacturer#5","Brand#54",ECONOMY BURNISHED TIN,11,MED PACK,1109.20,deposi
3207,forest orchid dim purple thistle,"Manufacturer#3","Brand#33",ECONOMY BRUSHED BRASS,12,WRAP CASE,1110.20,ong th
3208,blue black navajo lawn grey,"Manufacturer#4","Brand#41",SMALL POLISHED COPPER,19,JUMBO DRUM,1111.20,se sl
3209,cream cyan red hot navy,"Manufacturer#1","Brand#15",MEDIUM PLATED STEEL,37,WRAP DRUM,1112.20,yers wake fluffil
3210,wheat drab puff light cornsilk,"Manufacturer#5","Brand#53",ECONOMY BRUSHED COPPER,22,LG DRUM,1113.21,hogs. furiously regul
3211,tan medium red indian plum,"Manufacturer#1","Brand#15",STANDARD POLISHED STEEL,48,JUMBO PACK,1114.21,y express theodolite
3212,chocolate lime white turquoise burlywood,"Manufacturer#2","Brand#23",LARGE ANODIZED NICKEL,11,LG PACK,1115.21,y express depo
3213,grey pink dark linen purple,"Manufacturer#3","Brand#32",ECONOMY BRUSHED COPPER,17,JUMBO DRUM,1116.21,p sly
3214,goldenrod slate cornflower sienna blanched,"Manufacturer#5","Brand#53",ECONOMY ANODIZED BRASS,45,SM PKG,1117.21,bove the c
3215,peach mint lemon frosted cyan,"Manufacturer#3","Brand#33",STANDARD BRUSHED TIN,2,JUMBO JAR,1118.21,arefully expre
3216,antique pale tan cornsilk saddle,"Manufacturer#5","Brand#53",LARGE POLISHED BRASS,12,LG PACK,1119.21,-- furious
3217,seashell snow lime cream grey,"Manufacturer#3","Brand#31",PROMO POLISHED TIN,47,LG PACK,1120.21,s are some
3218,blush lace slate lavender antique,"Manufacturer#5","Brand#51",SMALL POLISHED COPPER,6,MED PKG,1121.21,ely p
3219,metallic deep yellow tomato cyan,"Manufacturer#1","Brand#15",STANDARD PLATED TIN,36,SM CASE,1122.21,e slyl
3220,royal lemon floral gainsboro yellow,"Manufacturer#5","Brand#54",MEDIUM PLATED COPPER,46,MED DRUM,1123.22,nag furiously. 
3221,lime azure snow papaya cream,"Manufacturer#5","Brand#51",SMALL PLATED NICKEL,14,SM PKG,1124.22,accordi
3222,navajo black hot coral burlywood,"Manufacturer#1","Brand#13",MEDIUM PLATED NICKEL,3,MED CASE,1125.22,yly regular deposits 
3223,frosted wheat light hot pale,"Manufacturer#1","Brand#13",SMALL ANODIZED COPPER,30,SM PACK,1126.22,ts. carefully special
3224,beige purple dim violet azure,"Manufacturer#2","Brand#21",SMALL PLATED COPPER,26,JUMBO BOX,1127.22,nd the slyly express 
3225,rose wheat chiffon aquamarine yellow,"Manufacturer#1","Brand#13",STANDARD PLATED COPPER,42,JUMBO PKG,1128.22,jole fluffily. e
3226,maroon gainsboro red yellow snow,"Manufacturer#4","Brand#43",ECONOMY BURNISHED BRASS,21,JUMBO BAG,1129.22,"ly. sly,"
3227,lime cornsilk grey lemon tan,"Manufacturer#4","Brand#45",ECONOMY POLISHED TIN,24,SM PKG,1130.22,lites: 
3228,linen maroon moccasin lavender blush,"Manufacturer#4","Brand#41",STANDARD BURNISHED STEEL,12,LG JAR,1131.22,he quickly ruthless d
3229,burnished mint beige midnight royal,"Manufacturer#4","Brand#44",MEDIUM POLISHED COPPER,25,LG CAN,1132.22,eaves above 
3230,violet black navajo sky goldenrod,"Manufacturer#2","Brand#24",SMALL BURNISHED TIN,9,WRAP BAG,1133.23,y ironic reques
3231,smoke powder gainsboro floral orchid,"Manufacturer#3","Brand#31",SMALL POLISHED STEEL,41,SM PKG,1134.23,ages. final asymptotes
3232,sandy maroon salmon sienna chocolate,"Manufacturer#3","Brand#31",LARGE POLISHED BRASS,10,MED BOX,1135.23,unusual requests. sly
3233,rosy wheat green misty plum,"Manufacturer#1","Brand#12",LARGE BURNISHED BRASS,14,JUMBO BAG,1136.23,ss courts. final 
3234,magenta green ivory goldenrod dim,"Manufacturer#1","Brand#15",SMALL PLATED NICKEL,25,MED BOX,1137.23,nts wa
3235,linen blush royal chocolate antique,"Manufacturer#4","Brand#43",ECONOMY BURNISHED STEEL,5,LG JAR,1138.23,ggle 
3236,royal almond lawn khaki blue,"Manufacturer#3","Brand#35",LARGE BURNISHED BRASS,22,MED CAN,1139.23,"d, ironic instruc"
3237,turquoise navajo burnished dark orange,"Manufacturer#5","Brand#53",STANDARD PLATED STEEL,49,MED BOX,1140.23,yly r
3238,black almond rosy frosted peru,"Manufacturer#2","Brand#21",MEDIUM BRUSHED NICKEL,46,WRAP BOX,1141.23, package
3239,ivory grey purple almond cyan,"Manufacturer#5","Brand#53",MEDIUM BURNISHED BRASS,47,LG PKG,1142.23, furious
3240,sky cornsilk forest olive grey,"Manufacturer#5","Brand#54",SMALL POLISHED NICKEL,35,MED CAN,1143.24,accounts. fur
3241,aquamarine navajo dim saddle green,"Manufacturer#1","Brand#12",PROMO BURNISHED TIN,14,MED PACK,1144.24,latel
3242,rose orchid ghost antique black,"Manufacturer#3","Brand#31",PROMO BURNISHED TIN,3,MED DRUM,1145.24,ged instru
3243,grey orchid papaya lemon lawn,"Manufacturer#1","Brand#15",LARGE ANODIZED TIN,21,LG PACK,1146.24,yly r
3244,rose firebrick cyan lime chiffon,"Manufacturer#4","Brand#45",PROMO PLATED COPPER,31,JUMBO BOX,1147.24,ly final req
3245,slate moccasin navy linen rose,"Manufacturer#3","Brand#35",PROMO BURNISHED BRASS,21,JUMBO DRUM,1148.24,odolites boost f
3246,goldenrod firebrick papaya black orchid,"Manufacturer#4","Brand#44",MEDIUM POLISHED STEEL,38,LG DRUM,1149.24,ly above the furio
3247,powder blush salmon magenta peru,"Manufacturer#5","Brand#55",PROMO ANODIZED COPPER,14,LG CASE,1150.24,ully bold pint
3248,ghost azure coral snow blanched,"Manufacturer#4","Brand#43",PROMO POLISHED NICKEL,10,LG BOX,1151.24,"lar, pe"
3249,salmon moccasin rose plum azure,"Manufacturer#4","Brand#42",ECONOMY BRUSHED COPPER,3,JUMBO PKG,1152.24, ironic a
3250,bisque dim puff magenta moccasin,"Manufacturer#3","Brand#31",STANDARD PLATED NICKEL,42,LG BAG,1153.25, silent d
3251,white peru ivory chocolate rose,"Manufacturer#5","Brand#51",MEDIUM ANODIZED NICKEL,39,LG BAG,1154.25,deas about the carefu
3252,violet burlywood sandy dodger mint,"Manufacturer#5","Brand#55",SMALL PLATED STEEL,42,WRAP DRUM,1155.25,ges above the unusual
3253,black chocolate drab cornsilk salmon,"Manufacturer#5","Brand#51",STANDARD ANODIZED TIN,20,LG CASE,1156.25,encies belie
3254,wheat blanched drab lemon light,"Manufacturer#3","Brand#32",SMALL BRUSHED NICKEL,45,WRAP CAN,1157.25,gular packages shoul
3255,wheat hot dark red chiffon,"Manufacturer#3","Brand#31",SMALL BURNISHED STEEL,27,WRAP PKG,1158.25, instructi
3256,cream violet slate cyan floral,"Manufacturer#3","Brand#33",SMALL ANODIZED NICKEL,25,MED CAN,1159.25,osits 
3257,mint green azure lemon ghost,"Manufacturer#3","Brand#32",LARGE ANODIZED NICKEL,27,JUMBO PACK,1160.25,ccounts. s
3258,cream antique chartreuse blue sky,"Manufacturer#4","Brand#45",ECONOMY PLATED STEEL,4,MED DRUM,1161.25,ously
3259,coral drab gainsboro powder navajo,"Manufacturer#4","Brand#45",ECONOMY BRUSHED STEEL,9,SM CASE,1162.25,ts boost slyly 
3260,powder honeydew linen smoke grey,"Manufacturer#2","Brand#22",ECONOMY BURNISHED STEEL,9,SM JAR,1163.26,"g, even acc"
3261,blanched smoke magenta deep goldenrod,"Manufacturer#5","Brand#52",PROMO BRUSHED STEEL,37,SM CASE,1164.26,leep idly requ
3262,mint seashell midnight deep chartreuse,"Manufacturer#4","Brand#45",STANDARD ANODIZED STEEL,9,JUMBO PACK,1165.26,kages d
3263,green orange rosy navy firebrick,"Manufacturer#4","Brand#41",STANDARD POLISHED TIN,45,SM CASE,1166.26, affix: regularly spe
3264,smoke medium snow hot saddle,"Manufacturer#3","Brand#32",SMALL PLATED COPPER,34,SM CAN,1167.26,fily silen
3265,saddle deep yellow snow pale,"Manufacturer#3","Brand#33",SMALL BURNISHED NICKEL,21,MED JAR,1168.26,ckly. blit
3266,ivory goldenrod medium orange puff,"Manufacturer#5","Brand#51",PROMO ANODIZED STEEL,25,SM CASE,1169.26,s. blithely silent
3267,chiffon black ivory coral seashell,"Manufacturer#1","Brand#15",ECONOMY BURNISHED STEEL,4,WRAP CASE,1170.26,lithel
3268,grey red orange tan spring,"Manufacturer#1","Brand#14",STANDARD PLATED COPPER,45,LG CAN,1171.26, platelets wake car
3269,dim tan yellow honeydew antique,"Manufacturer#5","Brand#53",LARGE POLISHED BRASS,24,LG CASE,1172.26,Tiresias. slyly
3270,frosted mint ivory firebrick honeydew,"Manufacturer#4","Brand#42",PROMO BRUSHED STEEL,15,LG CAN,1173.27,s sleep around the q
3271,frosted thistle goldenrod almond mint,"Manufacturer#3","Brand#32",PROMO ANODIZED NICKEL,35,LG BOX,1174.27,special
3272,coral cream royal lavender red,"Manufacturer#2","Brand#24",SMALL BRUSHED TIN,38,WRAP JAR,1175.27,y unusual packages in
3273,bisque chiffon burlywood beige turquoise,"Manufacturer#5","Brand#51",SMALL BURNISHED TIN,1,JUMBO BOX,1176.27,l excuses c
3274,khaki tomato burnished mint white,"Manufacturer#2","Brand#24",ECONOMY BRUSHED TIN,33,MED JAR,1177.27,". bold, ironic theo"
3275,smoke burlywood wheat lavender slate,"Manufacturer#4","Brand#45",LARGE PLATED BRASS,19,LG CAN,1178.27,osits. ideas na
3276,lemon hot maroon indian dodger,"Manufacturer#4","Brand#44",STANDARD POLISHED TIN,24,LG BAG,1179.27,counts use
3277,powder purple peru blanched dodger,"Manufacturer#3","Brand#32",LARGE POLISHED NICKEL,2,WRAP BOX,1180.27,somas sl
3278,wheat linen rosy almond blanched,"Manufacturer#1","Brand#15",SMALL PLATED STEEL,10,JUMBO BOX,1181.27,ans! quickly special
3279,beige antique azure navy smoke,"Manufacturer#4","Brand#45",STANDARD BRUSHED STEEL,26,JUMBO BOX,1182.27,s the slyly spec
3280,antique chartreuse hot saddle maroon,"Manufacturer#3","Brand#34",SMALL PLATED COPPER,5,WRAP CAN,1183.28,"nding, s"
3281,blush deep dim smoke cornsilk,"Manufacturer#2","Brand#22",ECONOMY BURNISHED STEEL,8,WRAP DRUM,1184.28,ironi
3282,sienna dark bisque papaya almond,"Manufacturer#1","Brand#12",PROMO BRUSHED BRASS,18,SM DRUM,1185.28,es abo
3283,puff light papaya peru sienna,"Manufacturer#3","Brand#31",MEDIUM POLISHED COPPER,10,WRAP PACK,1186.28,sly ironic excus
3284,tan thistle sky honeydew drab,"Manufacturer#3","Brand#32",MEDIUM ANODIZED TIN,23,JUMBO BOX,1187.28, dugouts
3285,dodger lemon peach blush rose,"Manufacturer#3","Brand#35",SMALL BRUSHED TIN,2,LG BOX,1188.28, care
3286,ghost royal medium blue powder,"Manufacturer#3","Brand#33",ECONOMY BRUSHED STEEL,5,WRAP CASE,1189.28,s integrate 
3287,spring almond dark floral midnight,"Manufacturer#4","Brand#44",ECONOMY BURNISHED NICKEL,46,WRAP BOX,1190.28,nal reques
3288,salmon brown lace turquoise spring,"Manufacturer#2","Brand#24",PROMO PLATED BRASS,42,MED BOX,1191.28,nusual packages. care
3289,salmon cornsilk papaya tan almond,"Manufacturer#5","Brand#54",PROMO PLATED BRASS,5,SM PACK,1192.28,even ideas
3290,sky khaki blanched green thistle,"Manufacturer#1","Brand#15",PROMO BRUSHED TIN,8,SM DRUM,1193.29,d theodolites sleep s
3291,magenta bisque pink yellow violet,"Manufacturer#1","Brand#15",SMALL PLATED COPPER,15,WRAP BOX,1194.29,e slyly regular acco
3292,indian slate chocolate smoke red,"Manufacturer#3","Brand#33",STANDARD BRUSHED BRASS,50,SM BOX,1195.29,ounts. regular account
3293,turquoise wheat dark maroon plum,"Manufacturer#3","Brand#33",LARGE PLATED TIN,32,LG DRUM,1196.29,y blithely expr
3294,dim blue thistle ivory linen,"Manufacturer#4","Brand#41",PROMO BRUSHED BRASS,14,SM JAR,1197.29,s. regu
3295,medium cornflower black sienna indian,"Manufacturer#5","Brand#55",PROMO ANODIZED STEEL,20,MED CASE,1198.29,oldly even
3296,antique moccasin medium plum lace,"Manufacturer#3","Brand#35",SMALL POLISHED STEEL,44,LG PACK,1199.29,gular hockey
3297,navy powder maroon cornflower chiffon,"Manufacturer#2","Brand#23",SMALL ANODIZED COPPER,30,SM PACK,1200.29,arefully un
3298,dodger purple navajo snow violet,"Manufacturer#3","Brand#32",STANDARD BRUSHED STEEL,16,SM CAN,1201.29,usly permanent accoun
3299,peru floral salmon navajo gainsboro,"Manufacturer#4","Brand#43",LARGE POLISHED STEEL,7,SM PKG,1202.29,the eve
3300,azure lawn medium peru orchid,"Manufacturer#1","Brand#13",STANDARD BURNISHED NICKEL,16,MED DRUM,1203.30,uests. furiously 
3301,yellow midnight coral azure cream,"Manufacturer#3","Brand#31",SMALL BRUSHED NICKEL,33,LG JAR,1204.30,ckly carefull
3302,turquoise sandy black pink sienna,"Manufacturer#3","Brand#33",LARGE PLATED TIN,11,JUMBO DRUM,1205.30,ven packages acros
3303,magenta almond pale drab firebrick,"Manufacturer#3","Brand#31",SMALL BURNISHED STEEL,42,WRAP CASE,1206.30,enticingly. even pac
3304,spring brown orchid lemon dark,"Manufacturer#3","Brand#34",MEDIUM BURNISHED STEEL,18,MED PACK,1207.30, final theodo
3305,steel floral metallic red sky,"Manufacturer#1","Brand#13",LARGE BURNISHED TIN,1,JUMBO BOX,1208.30,"ular, u"
3306,slate red plum honeydew beige,"Manufacturer#1","Brand#11",PROMO BURNISHED STEEL,34,SM JAR,1209.30,osits sleep never ab
3307,lime aquamarine lace cream gainsboro,"Manufacturer#2","Brand#24",STANDARD PLATED STEEL,48,LG CAN,1210.30, use carefully above
3308,seashell frosted cornsilk aquamarine orange,"Manufacturer#2","Brand#24",PROMO BRUSHED BRASS,19,SM BOX,1211.30,unusual requests. iron
3309,mint hot papaya sienna grey,"Manufacturer#2","Brand#22",LARGE ANODIZED BRASS,1,LG BOX,1212.30,ar accounts wake
3310,forest lawn dodger blue sienna,"Manufacturer#4","Brand#42",MEDIUM PLATED COPPER,45,SM CAN,1213.31,packages abo
3311,medium light forest lavender indian,"Manufacturer#5","Brand#51",ECONOMY POLISHED COPPER,20,SM DRUM,1214.31,ffix.
3312,navajo mint smoke aquamarine tan,"Manufacturer#1","Brand#12",SMALL POLISHED TIN,3,SM PKG,1215.31,ronic warhorses a
3313,navajo sandy coral peru grey,"Manufacturer#3","Brand#34",MEDIUM BURNISHED TIN,27,JUMBO DRUM,1216.31, express depos
3314,dark navy violet bisque dim,"Manufacturer#1","Brand#13",STANDARD ANODIZED STEEL,14,WRAP JAR,1217.31, sleep. sly
3315,papaya mint orange cornsilk lace,"Manufacturer#4","Brand#42",LARGE BRUSHED TIN,17,WRAP BAG,1218.31,ccount
3316,cream dark white metallic rose,"Manufacturer#3","Brand#31",LARGE ANODIZED COPPER,6,WRAP CASE,1219.31,aring de
3317,magenta tan linen maroon lemon,"Manufacturer#5","Brand#51",SMALL BURNISHED COPPER,41,WRAP CAN,1220.31,l excuses across the 
3318,hot tan purple rosy dark,"Manufacturer#5","Brand#51",LARGE ANODIZED BRASS,18,WRAP DRUM,1221.31,. final p
3319,blue misty orange blush green,"Manufacturer#4","Brand#45",STANDARD PLATED NICKEL,45,MED CASE,1222.31,y even req
3320,chocolate forest burnished pink royal,"Manufacturer#5","Brand#51",ECONOMY POLISHED COPPER,34,SM PACK,1223.32, dolphins ought 
3321,cyan indian drab burnished khaki,"Manufacturer#1","Brand#14",MEDIUM BURNISHED COPPER,1,MED PACK,1224.32,uffy ideas about th
3322,dim violet puff royal red,"Manufacturer#4","Brand#44",MEDIUM BURNISHED NICKEL,13,SM CAN,1225.32,bold theodolites
3323,linen medium chartreuse light goldenrod,"Manufacturer#1","Brand#12",MEDIUM POLISHED BRASS,45,WRAP PKG,1226.32,telets will have to a
3324,thistle puff maroon blush metallic,"Manufacturer#1","Brand#12",SMALL BRUSHED COPPER,13,MED BAG,1227.32, the excuses. careful
3325,wheat mint chiffon turquoise papaya,"Manufacturer#3","Brand#35",LARGE POLISHED STEEL,16,JUMBO BOX,1228.32,sts haggle furious
3326,olive blanched azure tan dodger,"Manufacturer#2","Brand#22",MEDIUM ANODIZED BRASS,40,MED CASE,1229.32,s try to 
3327,floral cornflower olive pink dodger,"Manufacturer#1","Brand#11",PROMO PLATED TIN,28,SM CAN,1230.32,ost qu
3328,tomato chiffon forest white royal,"Manufacturer#2","Brand#25",PROMO BURNISHED TIN,1,SM PKG,1231.32,accounts! furiou
3329,goldenrod beige turquoise linen almond,"Manufacturer#4","Brand#45",MEDIUM BURNISHED STEEL,20,JUMBO BOX,1232.32,ress accounts. 
3330,orange magenta chiffon linen lavender,"Manufacturer#4","Brand#45",MEDIUM BRUSHED COPPER,21,SM BAG,1233.33,ringly ev
3331,honeydew ghost plum cornflower coral,"Manufacturer#2","Brand#21",ECONOMY BRUSHED TIN,16,SM BOX,1234.33,y even asy
3332,white plum cyan almond blue,"Manufacturer#5","Brand#55",LARGE POLISHED STEEL,46,LG PKG,1235.33,slyly among t
3333,papaya powder indian green wheat,"Manufacturer#3","Brand#35",MEDIUM PLATED NICKEL,10,SM PKG,1236.33,y ironic depend
3334,black sky cyan maroon pale,"Manufacturer#5","Brand#55",PROMO BRUSHED BRASS,17,JUMBO DRUM,1237.33,posit
3335,plum navy white dim burnished,"Manufacturer#3","Brand#31",ECONOMY POLISHED NICKEL,43,LG CASE,1238.33,r inst
3336,pale indian salmon lemon white,"Manufacturer#4","Brand#41",STANDARD POLISHED STEEL,20,MED PKG,1239.33, pending deposits. pen
3337,burnished coral peru blue rose,"Manufacturer#4","Brand#43",LARGE POLISHED STEEL,30,JUMBO PACK,1240.33,instruct
3338,ivory green honeydew grey black,"Manufacturer#2","Brand#21",STANDARD BURNISHED STEEL,41,LG CASE,1241.33,olphins doze sl
3339,ghost black forest magenta honeydew,"Manufacturer#2","Brand#22",STANDARD BURNISHED TIN,37,WRAP PKG,1242.33,ructions accordi
3340,coral tomato plum yellow black,"Manufacturer#3","Brand#31",MEDIUM POLISHED TIN,3,LG PACK,1243.34,yly ir
3341,chiffon ivory yellow red cream,"Manufacturer#3","Brand#35",STANDARD BURNISHED STEEL,6,MED DRUM,1244.34,leep blithely. careful
3342,plum cyan black misty bisque,"Manufacturer#1","Brand#12",SMALL ANODIZED STEEL,36,SM CASE,1245.34,iously furiously 
3343,cornflower sky black blue coral,"Manufacturer#4","Brand#42",MEDIUM PLATED STEEL,23,WRAP CASE,1246.34,mong th
3344,maroon bisque burlywood steel coral,"Manufacturer#3","Brand#35",PROMO PLATED NICKEL,34,WRAP BOX,1247.34,le. fur
3345,lemon orchid chiffon turquoise lime,"Manufacturer#5","Brand#51",LARGE ANODIZED BRASS,32,JUMBO BAG,1248.34,ckly quiet deposits h
3346,plum floral orchid bisque brown,"Manufacturer#4","Brand#45",SMALL BRUSHED NICKEL,43,LG CAN,1249.34,egular
3347,black navy thistle seashell steel,"Manufacturer#1","Brand#14",MEDIUM ANODIZED TIN,43,MED DRUM,1250.34, cajole car
3348,tomato blanched black misty frosted,"Manufacturer#4","Brand#44",ECONOMY BURNISHED BRASS,33,JUMBO PKG,1251.34,tes snooz
3349,gainsboro linen navajo blush sky,"Manufacturer#5","Brand#54",STANDARD POLISHED STEEL,25,WRAP JAR,1252.34,tes wak
3350,chocolate papaya forest firebrick floral,"Manufacturer#1","Brand#11",PROMO PLATED TIN,26,LG CASE,1253.35,special accounts
3351,powder seashell azure ivory navy,"Manufacturer#5","Brand#54",PROMO ANODIZED COPPER,48,LG BAG,1254.35,ar deposits are acro
3352,lace linen midnight metallic blush,"Manufacturer#5","Brand#52",ECONOMY BURNISHED TIN,32,SM CASE,1255.35,y final instructions
3353,rose navy chiffon medium salmon,"Manufacturer#1","Brand#14",ECONOMY ANODIZED COPPER,5,SM CAN,1256.35,furiously. quic
3354,navajo mint powder pink floral,"Manufacturer#3","Brand#31",PROMO POLISHED TIN,20,SM BAG,1257.35,deposits. f
3355,chartreuse powder orchid hot slate,"Manufacturer#1","Brand#13",MEDIUM ANODIZED TIN,28,WRAP DRUM,1258.35,"uickly final, regula"
3356,mint tan smoke magenta frosted,"Manufacturer#1","Brand#15",SMALL ANODIZED TIN,28,JUMBO BOX,1259.35,t above the idle do
3357,violet dim metallic lemon spring,"Manufacturer#3","Brand#32",PROMO ANODIZED COPPER,40,SM CASE,1260.35,excuses
3358,peru sienna navajo salmon slate,"Manufacturer#2","Brand#21",MEDIUM BURNISHED NICKEL,44,MED CAN,1261.35,dencies. blit
3359,navajo grey red pale yellow,"Manufacturer#1","Brand#13",MEDIUM PLATED NICKEL,27,LG CAN,1262.35,ions det
3360,medium navy antique black ghost,"Manufacturer#3","Brand#33",LARGE BRUSHED BRASS,13,LG PKG,1263.36,lites. ironic asympt
3361,lavender peru lime goldenrod salmon,"Manufacturer#5","Brand#52",PROMO POLISHED NICKEL,35,MED BOX,1264.36,ke pend
3362,frosted white rose dark indian,"Manufacturer#4","Brand#42",ECONOMY BRUSHED STEEL,37,WRAP CAN,1265.36,"ven, regular dependen"
3363,peru grey sandy royal lawn,"Manufacturer#1","Brand#13",LARGE POLISHED STEEL,16,MED PACK,1266.36,accounts wa
3364,midnight honeydew magenta light plum,"Manufacturer#5","Brand#51",SMALL BRUSHED COPPER,42,LG DRUM,1267.36, regular pac
3365,dark metallic forest sandy hot,"Manufacturer#1","Brand#11",PROMO ANODIZED STEEL,21,SM PACK,1268.36,s wak
3366,lime maroon blanched goldenrod cornflower,"Manufacturer#4","Brand#45",SMALL POLISHED BRASS,33,JUMBO PKG,1269.36,yly closely eve
3367,lavender light powder papaya blanched,"Manufacturer#5","Brand#51",SMALL ANODIZED COPPER,45,WRAP PKG,1270.36,iously deposits. 
3368,deep almond grey dim steel,"Manufacturer#3","Brand#32",SMALL PLATED TIN,35,LG JAR,1271.36,slyly express pint
3369,floral cyan gainsboro tomato blanched,"Manufacturer#3","Brand#34",SMALL BRUSHED BRASS,14,JUMBO CASE,1272.36,e ruthless theodolite
3370,blanched tomato yellow steel midnight,"Manufacturer#5","Brand#55",MEDIUM BRUSHED COPPER,17,LG PKG,1273.37,s across th
3371,frosted dim khaki magenta brown,"Manufacturer#1","Brand#12",MEDIUM PLATED STEEL,42,WRAP DRUM,1274.37,uickly sp
3372,midnight dim black rosy metallic,"Manufacturer#4","Brand#42",LARGE BURNISHED TIN,17,SM DRUM,1275.37,haggle. busily even 
3373,midnight powder dim orchid maroon,"Manufacturer#4","Brand#45",PROMO PLATED NICKEL,36,SM DRUM,1276.37,outs are furi
3374,goldenrod slate salmon smoke green,"Manufacturer#5","Brand#55",STANDARD BRUSHED BRASS,11,LG CAN,1277.37, unusual 
3375,rose powder chartreuse almond honeydew,"Manufacturer#1","Brand#11",SMALL ANODIZED COPPER,48,LG CAN,1278.37,y final th
3376,dark cornsilk dim saddle goldenrod,"Manufacturer#3","Brand#34",MEDIUM POLISHED COPPER,43,WRAP BAG,1279.37,eposits cajole; fin
3377,tomato moccasin purple indian metallic,"Manufacturer#2","Brand#25",PROMO BRUSHED NICKEL,3,WRAP JAR,1280.37,ully bold accounts! 
3378,almond salmon cornsilk royal smoke,"Manufacturer#5","Brand#53",PROMO PLATED NICKEL,39,JUMBO CASE,1281.37,p carefully a
3379,maroon olive wheat chartreuse powder,"Manufacturer#4","Brand#41",STANDARD BURNISHED TIN,6,WRAP BAG,1282.37,iously
3380,cornsilk honeydew chocolate sienna misty,"Manufacturer#3","Brand#33",ECONOMY BRUSHED NICKEL,20,JUMBO CAN,1283.38,ing reques
3381,wheat saddle antique sienna almond,"Manufacturer#1","Brand#11",LARGE BURNISHED TIN,13,MED CASE,1284.38,ular a
3382,cornsilk blush tomato grey pink,"Manufacturer#3","Brand#33",ECONOMY POLISHED BRASS,35,LG PKG,1285.38,"ular, final pl"
3383,navy misty mint steel chocolate,"Manufacturer#3","Brand#31",PROMO BURNISHED NICKEL,10,WRAP BOX,1286.38, pending t
3384,burlywood antique chartreuse sienna rose,"Manufacturer#4","Brand#41",SMALL ANODIZED BRASS,3,SM DRUM,1287.38,to bean
3385,navajo blue smoke peach thistle,"Manufacturer#4","Brand#42",LARGE BURNISHED BRASS,49,LG PKG,1288.38,nstructions are blith
3386,maroon slate lavender black purple,"Manufacturer#4","Brand#45",ECONOMY BURNISHED COPPER,50,MED JAR,1289.38,xcuses x-ray b
3387,drab chiffon aquamarine linen metallic,"Manufacturer#4","Brand#41",MEDIUM BRUSHED NICKEL,47,MED CASE,1290.38,r the pend
3388,purple mint cornflower metallic yellow,"Manufacturer#4","Brand#44",LARGE POLISHED TIN,29,LG JAR,1291.38, acros
3389,wheat green spring navy saddle,"Manufacturer#2","Brand#22",MEDIUM PLATED NICKEL,15,MED DRUM,1292.38, slyly ironic 
3390,grey orchid smoke gainsboro rose,"Manufacturer#3","Brand#34",LARGE BRUSHED STEEL,37,JUMBO CASE,1293.39,ckages cajole across
3391,cream chartreuse almond blush chiffon,"Manufacturer#5","Brand#53",SMALL ANODIZED TIN,25,JUMBO JAR,1294.39,uffily unusual ideas a
3392,lime ghost rosy chocolate magenta,"Manufacturer#4","Brand#44",MEDIUM BURNISHED STEEL,29,WRAP DRUM,1295.39,special ide
